"State","Indicator","Type","Estimate","LCL","UCL"
"West Kourdofan","Child: Iron deficiency","Proportion",46.1,25.72,66.48
"West Kourdofan","Child: Iron deficiency anaemia","Proportion",27,7.9,46.1
"West Kourdofan","Pregnant: Iron deficiency","Proportion",67.29,8,99.99
"West Kourdofan","Pregnant: Iron overload","Proportion",2.19,0.01,17.4
"West Kourdofan","Pregnant: Iron deficiency anaemia","Proportion",18.82,0.01,44.43
"West Kourdofan","Non-pregnant: Iron deficiency","Proportion",36.23,9.97,62.48
"West Kourdofan","Non-pregnant: Iron overload","Proportion",1.62,0.01,9.63
"West Kourdofan","Non-pregnant: Iron deficiency anaemia","Proportion",14.99,0.01,31.25
"West Kourdofan","Child: Hypocalcaemia","Proportion",61.13,31.14,91.12
"West Kourdofan","Child: Hpercalcaemia","Proportion",3.2,0.01,13.55
"West Kourdofan","Pregnant: Hypocalcaemia","Proportion",82.03,31,99.99
"West Kourdofan","Pregnant: Hpercalcaemia","Proportion",16.63,0.01,59.39
"West Kourdofan","Non-pregnant: Hypocalcaemia","Proportion",81.48,47.8,99.99
"West Kourdofan","Non-pregnant: Hpercalcaemia","Proportion",13.79,0.01,38.75
"West Kourdofan","Pregnant: Iodine intake above requirements","Proportion",3.34,0.01,16.49
"West Kourdofan","Pregnant: Iodine intake excessive","Proportion",0,0,0
"West Kourdofan","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",6.34,0.01,24.73
"West Kourdofan","Non-pregnant non-lactating: Iodine intake excessive","Proportion",5.95,0.01,34.27
"West Kourdofan","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"West Kourdofan","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"West Kourdofan","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",17.38,0.01,52.57
"West Kourdofan","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",16.2,0.01,49.56
"West Kourdofan","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",36.56,0.01,77.58
"West Kourdofan","Non-pregnant lactating: Iodine insufficiency","Proportion",82.12,54.13,99.99
"West Kourdofan","Pregnant: Iodine insufficiency","Proportion",97.08,97.08,97.08
"River Nile","Child: Mild anaemia","Proportion",27.98,14.67,41.28
"River Nile","Child: Moderate anaemia","Proportion",28.89,14.26,43.52
"River Nile","Child: Severe Anaemia","Proportion",0.76,0.01,3.69
"River Nile","Pregnant: Mild anaemia","Proportion",15.65,0.01,39.47
"River Nile","Pregnant: Moderate anaemia","Proportion",10.65,0.01,28.73
"River Nile","Pregnant: Severe Anaemia","Proportion",0,0,0
"River Nile","Non-pregnant: Mild anaemia","Proportion",26.49,12.05,40.92
"River Nile","Non-pregnant: Moderate anaemia","Proportion",9.53,0.01,23.68
"River Nile","Non-pregnant: Severe Anaemia","Proportion",0.26,0.01,2.19
"River Nile","Child: Acute inflammation","Proportion",45.66,27.59,63.74
"River Nile","Pregnant: Acute inflammation","Proportion",67.56,41.38,93.74
"River Nile","Non-pregnant: Acute inflammation","Proportion",48.95,31.49,66.41
"River Nile","Child: Iron deficiency","Proportion",62.59,43.21,81.98
"River Nile","Child: Iron deficiency anaemia","Proportion",26.25,6.86,45.65
"River Nile","Pregnant: Iron deficiency","Proportion",53.13,23.33,82.94
"River Nile","Pregnant: Iron overload","Proportion",0,0,0
"River Nile","Pregnant: Iron deficiency anaemia","Proportion",19.3,0.01,43.72
"River Nile","Non-pregnant: Iron deficiency","Proportion",51.75,31.37,72.14
"River Nile","Non-pregnant: Iron overload","Proportion",0,0,0
"River Nile","Non-pregnant: Iron deficiency anaemia","Proportion",20.45,2.4,38.49
"River Nile","Child: Hypocalcaemia","Proportion",24.98,8.43,41.52
"River Nile","Child: Hpercalcaemia","Proportion",10.36,0.01,22.01
"River Nile","Pregnant: Hypocalcaemia","Proportion",69.99,36.55,99.99
"River Nile","Pregnant: Hpercalcaemia","Proportion",29.3,0.01,60.37
"River Nile","Non-pregnant: Hypocalcaemia","Proportion",42.54,13.55,71.53
"River Nile","Non-pregnant: Hpercalcaemia","Proportion",49.12,19.61,78.63
"River Nile","Pregnant: Iodine intake above requirements","Proportion",0.94,0.01,11.59
"River Nile","Pregnant: Iodine intake excessive","Proportion",0,0,0
"River Nile","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",12.27,0.01,30.88
"River Nile","Non-pregnant non-lactating: Iodine intake excessive","Proportion",4.1,0.01,19.61
"River Nile","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"River Nile","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"River Nile","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",27.18,3.4,50.95
"River Nile","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",4.88,0.01,15.25
"River Nile","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",1.73,0.01,7.81
"River Nile","Non-pregnant lactating: Iodine insufficiency","Proportion",47.5,20.1,74.89
"River Nile","Pregnant: Iodine insufficiency","Proportion",86.84,86.84,86.84
"Sinar","Child: Mild anaemia","Proportion",26.89,15.22,38.56
"Sinar","Child: Moderate anaemia","Proportion",23.97,12.16,35.79
"Sinar","Child: Severe Anaemia","Proportion",0.96,0.01,3.77
"Sinar","Pregnant: Mild anaemia","Proportion",11.75,0.01,32.27
"Sinar","Pregnant: Moderate anaemia","Proportion",11.2,0.01,31.87
"Sinar","Pregnant: Severe Anaemia","Proportion",0,0,0
"Sinar","Non-pregnant: Mild anaemia","Proportion",19.13,5.28,32.98
"Sinar","Non-pregnant: Moderate anaemia","Proportion",10.88,0.01,23.21
"Sinar","Non-pregnant: Severe Anaemia","Proportion",0.46,0.01,4.28
"Sinar","Child: Acute inflammation","Proportion",22.48,8.07,36.89
"Sinar","Pregnant: Acute inflammation","Proportion",38.57,4.16,72.97
"Sinar","Non-pregnant: Acute inflammation","Proportion",29.63,10.86,48.41
"Sinar","Child: Iron deficiency","Proportion",56.5,39.62,73.39
"Sinar","Child: Iron deficiency anaemia","Proportion",23.87,12.11,35.64
"Sinar","Pregnant: Iron deficiency","Proportion",66.66,30.87,99.99
"Sinar","Pregnant: Iron overload","Proportion",0,0,0
"Sinar","Pregnant: Iron deficiency anaemia","Proportion",15.3,0.01,34.61
"Sinar","Non-pregnant: Iron deficiency","Proportion",47.34,26.06,68.62
"Sinar","Non-pregnant: Iron overload","Proportion",1.56,0.01,5.91
"Sinar","Non-pregnant: Iron deficiency anaemia","Proportion",16.63,3.96,29.29
"Sinar","Child: Hypocalcaemia","Proportion",65.04,43.87,86.21
"Sinar","Child: Hpercalcaemia","Proportion",7.01,0.01,18.66
"Sinar","Pregnant: Hypocalcaemia","Proportion",87.36,60.89,99.99
"Sinar","Pregnant: Hpercalcaemia","Proportion",11.62,0.01,36.6
"Sinar","Non-pregnant: Hypocalcaemia","Proportion",79.93,59.95,99.91
"Sinar","Non-pregnant: Hpercalcaemia","Proportion",18.01,0.01,36.31
"Sinar","Pregnant: Iodine intake above requirements","Proportion",5.88,0.01,32.84
"Sinar","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Sinar","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",2.99,0.01,14.5
"Sinar","Non-pregnant non-lactating: Iodine intake excessive","Proportion",2.98,0.01,20.55
"Sinar","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Sinar","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Sinar","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",26.72,2.43,51.01
"Sinar","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",17.06,0.01,38.54
"Sinar","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",20.55,0.01,51.89
"Sinar","Non-pregnant lactating: Iodine insufficiency","Proportion",78.8,58.34,99.27
"Sinar","Pregnant: Iodine insufficiency","Proportion",100,100,100
"North Darfur","Child: Mild anaemia","Proportion",23.34,7.74,38.93
"North Darfur","Child: Moderate anaemia","Proportion",15.35,1.68,29.03
"North Darfur","Child: Severe Anaemia","Proportion",1.32,0.01,5.42
"North Darfur","Pregnant: Mild anaemia","Proportion",21.6,0.01,55.55
"North Darfur","Pregnant: Moderate anaemia","Proportion",20.97,0.01,61.11
"North Darfur","Pregnant: Severe Anaemia","Proportion",2.7,0.01,19.62
"North Darfur","Non-pregnant: Mild anaemia","Proportion",14.65,0.01,30
"North Darfur","Non-pregnant: Moderate anaemia","Proportion",12.27,0.01,29.35
"North Darfur","Non-pregnant: Severe Anaemia","Proportion",1.75,0.01,9.06
"North Darfur","Child: Acute inflammation","Proportion",33.35,17.62,49.09
"North Darfur","Pregnant: Acute inflammation","Proportion",42.66,2.45,82.88
"North Darfur","Non-pregnant: Acute inflammation","Proportion",29.31,11.28,47.34
"North Darfur","Child: Iron deficiency","Proportion",39.81,13.56,66.06
"North Darfur","Child: Iron deficiency anaemia","Proportion",21.25,6.45,36.05
"North Darfur","Pregnant: Iron deficiency","Proportion",48.76,0.01,99.99
"North Darfur","Pregnant: Iron overload","Proportion",0.14,0.01,2.57
"North Darfur","Pregnant: Iron deficiency anaemia","Proportion",28.28,0.01,70.82
"North Darfur","Non-pregnant: Iron deficiency","Proportion",36.19,12.01,60.37
"North Darfur","Non-pregnant: Iron overload","Proportion",1.1,0.01,8.66
"North Darfur","Non-pregnant: Iron deficiency anaemia","Proportion",15.91,1.09,30.73
"North Darfur","Child: Hypocalcaemia","Proportion",52.97,35.25,70.68
"North Darfur","Child: Hpercalcaemia","Proportion",0.63,0.01,3.05
"North Darfur","Pregnant: Hypocalcaemia","Proportion",75.35,48.68,99.99
"North Darfur","Pregnant: Hpercalcaemia","Proportion",6.66,0.01,19.92
"North Darfur","Non-pregnant: Hypocalcaemia","Proportion",71.85,52.9,90.81
"North Darfur","Non-pregnant: Hpercalcaemia","Proportion",7.49,0.01,24.88
"North Darfur","Pregnant: Iodine intake above requirements","Proportion",4.11,0.01,16.83
"North Darfur","Pregnant: Iodine intake excessive","Proportion",0,0,0
"North Darfur","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",3.76,0.01,19.17
"North Darfur","Non-pregnant non-lactating: Iodine intake excessive","Proportion",4.05,0.01,27.94
"North Darfur","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"North Darfur","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"North Darfur","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",14.85,0.01,50.94
"North Darfur","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",14.64,0.01,44.53
"North Darfur","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",30.1,0.01,68.12
"North Darfur","Non-pregnant lactating: Iodine insufficiency","Proportion",63.1,39.94,86.27
"North Darfur","Pregnant: Iodine insufficiency","Proportion",78.56,78.56,78.56
"Khartoum","Child: Mild anaemia","Proportion",18.08,3.41,32.75
"Khartoum","Child: Moderate anaemia","Proportion",23.9,5.11,42.69
"Khartoum","Child: Severe Anaemia","Proportion",1.68,0.01,7.01
"Khartoum","Pregnant: Mild anaemia","Proportion",13.95,0.01,39.46
"Khartoum","Pregnant: Moderate anaemia","Proportion",2.53,0.01,17.9
"Khartoum","Pregnant: Severe Anaemia","Proportion",0,0,0
"Khartoum","Non-pregnant: Mild anaemia","Proportion",13.16,0.67,25.64
"Khartoum","Non-pregnant: Moderate anaemia","Proportion",4.82,0.01,13.08
"Khartoum","Non-pregnant: Severe Anaemia","Proportion",0,0,1.45
"Khartoum","Child: Acute inflammation","Proportion",33.13,14.95,51.31
"Khartoum","Pregnant: Acute inflammation","Proportion",30.9,0.01,64.24
"Khartoum","Non-pregnant: Acute inflammation","Proportion",39.68,21.3,58.05
"Khartoum","Child: Iron deficiency","Proportion",59.74,39.64,79.83
"Khartoum","Child: Iron deficiency anaemia","Proportion",31.03,9.99,52.06
"Khartoum","Pregnant: Iron deficiency","Proportion",59.25,24.78,93.71
"Khartoum","Pregnant: Iron overload","Proportion",0,0,0
"Khartoum","Pregnant: Iron deficiency anaemia","Proportion",8.1,0.01,28.57
"Khartoum","Non-pregnant: Iron deficiency","Proportion",47.21,23,71.41
"Khartoum","Non-pregnant: Iron overload","Proportion",0.59,0.01,5.48
"Khartoum","Non-pregnant: Iron deficiency anaemia","Proportion",11.05,0.01,22.43
"Khartoum","Child: Hypocalcaemia","Proportion",0,0,0
"Khartoum","Child: Hpercalcaemia","Proportion",0,0,0
"Khartoum","Pregnant: Hypocalcaemia","Proportion",0,0,0
"Khartoum","Pregnant: Hpercalcaemia","Proportion",0,0,0
"Khartoum","Non-pregnant: Hypocalcaemia","Proportion",0,0,0
"Khartoum","Non-pregnant: Hpercalcaemia","Proportion",0,0,0
"Khartoum","Pregnant: Iodine intake above requirements","Proportion",13.73,0.01,48.48
"Khartoum","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Khartoum","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",24.84,0.01,56.14
"Khartoum","Non-pregnant non-lactating: Iodine intake excessive","Proportion",13.14,0.01,48.85
"Khartoum","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Khartoum","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Khartoum","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",12.02,0.01,35.19
"Khartoum","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",2.42,0.01,8.76
"Khartoum","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",3.28,0.01,13.42
"Khartoum","Non-pregnant lactating: Iodine insufficiency","Proportion",30.76,2.17,59.35
"Khartoum","Pregnant: Iodine insufficiency","Proportion",100,100,100
"Blue Nile","Child: Mild anaemia","Proportion",27.84,14.52,41.16
"Blue Nile","Child: Moderate anaemia","Proportion",29.64,15.08,44.2
"Blue Nile","Child: Severe Anaemia","Proportion",2.92,0.01,9.8
"Blue Nile","Pregnant: Mild anaemia","Proportion",34.87,6.3,63.44
"Blue Nile","Pregnant: Moderate anaemia","Proportion",23.29,0.01,51.29
"Blue Nile","Pregnant: Severe Anaemia","Proportion",0.84,0.01,6.38
"Blue Nile","Non-pregnant: Mild anaemia","Proportion",27.4,14.17,40.63
"Blue Nile","Non-pregnant: Moderate anaemia","Proportion",14.33,1.19,27.46
"Blue Nile","Non-pregnant: Severe Anaemia","Proportion",1.14,0.01,5.77
"Blue Nile","Child: Acute inflammation","Proportion",21.18,5.55,36.81
"Blue Nile","Pregnant: Acute inflammation","Proportion",35.07,0.01,71.74
"Blue Nile","Non-pregnant: Acute inflammation","Proportion",18.1,3.31,32.88
"Blue Nile","Child: Iron deficiency","Proportion",32.94,11.9,53.98
"Blue Nile","Child: Iron deficiency anaemia","Proportion",14.45,0.14,28.76
"Blue Nile","Pregnant: Iron deficiency","Proportion",62.88,21.26,99.99
"Blue Nile","Pregnant: Iron overload","Proportion",0.74,0.01,7.81
"Blue Nile","Pregnant: Iron deficiency anaemia","Proportion",29.25,0.01,62.77
"Blue Nile","Non-pregnant: Iron deficiency","Proportion",38.7,15.23,62.17
"Blue Nile","Non-pregnant: Iron overload","Proportion",2.99,0.01,9.13
"Blue Nile","Non-pregnant: Iron deficiency anaemia","Proportion",16.8,1.67,31.93
"Blue Nile","Child: Hypocalcaemia","Proportion",52.84,31.17,74.5
"Blue Nile","Child: Hpercalcaemia","Proportion",8.23,0.01,19.55
"Blue Nile","Pregnant: Hypocalcaemia","Proportion",90.68,67.19,99.99
"Blue Nile","Pregnant: Hpercalcaemia","Proportion",9.32,0.01,29.43
"Blue Nile","Non-pregnant: Hypocalcaemia","Proportion",84.68,69.19,99.99
"Blue Nile","Non-pregnant: Hpercalcaemia","Proportion",12.19,0.01,28.35
"Blue Nile","Pregnant: Iodine intake above requirements","Proportion",3.28,0.01,22.2
"Blue Nile","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Blue Nile","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",16.68,0.01,50.9
"Blue Nile","Non-pregnant non-lactating: Iodine intake excessive","Proportion",0.55,0.01,8.47
"Blue Nile","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Blue Nile","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Blue Nile","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",10.37,0.01,37.1
"Blue Nile","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",9.56,0.01,27.1
"Blue Nile","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",13.33,0.01,48.31
"Blue Nile","Non-pregnant lactating: Iodine insufficiency","Proportion",58.67,32.76,84.59
"Blue Nile","Pregnant: Iodine insufficiency","Proportion",100,100,100
"South Darfur","Child: Mild anaemia","Proportion",16.13,0.01,32.7
"South Darfur","Child: Moderate anaemia","Proportion",15.39,0.01,32.81
"South Darfur","Child: Severe Anaemia","Proportion",1.13,0.01,6.57
"South Darfur","Pregnant: Mild anaemia","Proportion",12.62,0.01,42.71
"South Darfur","Pregnant: Moderate anaemia","Proportion",14.37,0.01,49.11
"South Darfur","Pregnant: Severe Anaemia","Proportion",2.6,0.01,19.35
"South Darfur","Non-pregnant: Mild anaemia","Proportion",18.89,0.01,39.7
"South Darfur","Non-pregnant: Moderate anaemia","Proportion",13.03,0.01,34.38
"South Darfur","Non-pregnant: Severe Anaemia","Proportion",0.37,0.01,4.03
"South Darfur","Child: Acute inflammation","Proportion",40.48,16.39,64.58
"South Darfur","Pregnant: Acute inflammation","Proportion",37.47,0.01,78.15
"South Darfur","Non-pregnant: Acute inflammation","Proportion",35.6,11.52,59.67
"South Darfur","Child: Iron deficiency","Proportion",31.15,8.31,53.99
"South Darfur","Child: Iron deficiency anaemia","Proportion",15.04,0.01,33.39
"South Darfur","Pregnant: Iron deficiency","Proportion",34.02,0.01,83.92
"South Darfur","Pregnant: Iron overload","Proportion",1.57,0.01,17.85
"South Darfur","Pregnant: Iron deficiency anaemia","Proportion",12.05,0.01,36.44
"South Darfur","Non-pregnant: Iron deficiency","Proportion",38.96,11.61,66.31
"South Darfur","Non-pregnant: Iron overload","Proportion",2.18,0.01,10.94
"South Darfur","Non-pregnant: Iron deficiency anaemia","Proportion",15.48,0.01,33.96
"South Darfur","Child: Hypocalcaemia","Proportion",48.59,26.85,70.33
"South Darfur","Child: Hpercalcaemia","Proportion",2.28,0.01,13.54
"South Darfur","Pregnant: Hypocalcaemia","Proportion",61.94,29.79,94.09
"South Darfur","Pregnant: Hpercalcaemia","Proportion",6.02,0.01,34.13
"South Darfur","Non-pregnant: Hypocalcaemia","Proportion",66.29,39.94,92.65
"South Darfur","Non-pregnant: Hpercalcaemia","Proportion",12.9,0.01,39.45
"South Darfur","Pregnant: Iodine intake above requirements","Proportion",4.3,0.01,25.05
"South Darfur","Pregnant: Iodine intake excessive","Proportion",0,0,0
"South Darfur","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",4.76,0.01,21.56
"South Darfur","Non-pregnant non-lactating: Iodine intake excessive","Proportion",1.45,0.01,14.65
"South Darfur","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"South Darfur","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"South Darfur","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",13.97,0.01,46.4
"South Darfur","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",20.09,0.01,55.29
"South Darfur","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",15.57,0.01,51.51
"South Darfur","Non-pregnant lactating: Iodine insufficiency","Proportion",59.75,40.75,78.75
"South Darfur","Pregnant: Iodine insufficiency","Proportion",70.74,70.74,70.74
"Al-Gazeera","Child: Mild anaemia","Proportion",23.97,10.19,37.76
"Al-Gazeera","Child: Moderate anaemia","Proportion",21.74,7.09,36.39
"Al-Gazeera","Child: Severe Anaemia","Proportion",0.32,0.01,2.82
"Al-Gazeera","Pregnant: Mild anaemia","Proportion",20.62,0.01,41.27
"Al-Gazeera","Pregnant: Moderate anaemia","Proportion",8.81,0.01,23.13
"Al-Gazeera","Pregnant: Severe Anaemia","Proportion",0,0,0
"Al-Gazeera","Non-pregnant: Mild anaemia","Proportion",16.3,1.25,31.36
"Al-Gazeera","Non-pregnant: Moderate anaemia","Proportion",5.51,0.01,16.57
"Al-Gazeera","Non-pregnant: Severe Anaemia","Proportion",0,0,0
"Al-Gazeera","Child: Acute inflammation","Proportion",16.54,0.01,33.47
"Al-Gazeera","Pregnant: Acute inflammation","Proportion",13.76,0.01,39.4
"Al-Gazeera","Non-pregnant: Acute inflammation","Proportion",15.57,0.01,34
"Al-Gazeera","Child: Iron deficiency","Proportion",56.57,29.9,83.25
"Al-Gazeera","Child: Iron deficiency anaemia","Proportion",18.46,1.99,34.94
"Al-Gazeera","Pregnant: Iron deficiency","Proportion",47.04,10.71,83.37
"Al-Gazeera","Pregnant: Iron overload","Proportion",0,0,10.26
